id,title,genres_clean,overview,vote_average,vote_count,popularity,release_date,cluster,tagline,poster_url,backdrop_url,runtime,industry
58,Pirates of the Caribbean: Dead Man's Chest,"Adventure, Fantasy, Action","Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",7.0,5246,145.847379,2006-06-20,6,Jack is back!,https://image.tmdb.org/t/p/w500/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,https://image.tmdb.org/t/p/original/vr6n6ZFUZvedvIlhfYcbCWcaKyW.jpg,151,hollywood
57201,The Lone Ranger,"Action, Adventure, Western","The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",5.9,2311,49.046956,2013-07-03,8,Never Take Off the Mask,https://image.tmdb.org/t/p/w500/yDuJGq8biNMW7zM3w95UaDJv0KG.jpg,https://image.tmdb.org/t/p/original/vHd8RTXTGFwexUC2Mj1HOgSy9J3.jpg,149,hollywood
49521,Man of Steel,"Action, Adventure, Fantasy, Science Fiction","A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",6.5,6359,99.398009,2013-06-12,3,You will believe that a man can fly.,https://image.tmdb.org/t/p/w500/8GFtkImmK0K1VaUChR0n9O61CFU.jpg,https://image.tmdb.org/t/p/original/69EFgWWPFWbRNHmQgYdSnyJ94Ge.jpg,143,hollywood
2454,The Chronicles of Narnia: Prince Caspian,"Adventure, Family, Fantasy","One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",6.3,1630,53.978602,2008-05-15,8,Hope has a new face.,https://image.tmdb.org/t/p/w500/qxz3WIyjZiSKUhaTIEJ3c1GcC9z.jpg,https://image.tmdb.org/t/p/original/9pBv1BOSloAUgAkF0meJWdnbV4Q.jpg,150,hollywood
24428,The Avengers,"Science Fiction, Action, Adventure","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",7.4,11776,144.448633,2012-04-25,6,Some assembly required.,https://image.tmdb.org/t/p/w500/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,https://image.tmdb.org/t/p/original/9BBTo63ANSmhC4e6r62OJFuK2GL.jpg,143,hollywood
1865,Pirates of the Caribbean: On Stranger Tides,"Adventure, Action, Fantasy","Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",6.4,4948,135.413856,2011-05-14,6,Live Forever Or Die Trying.,https://image.tmdb.org/t/p/w500/keGfSvCmYj7CvdRx36OdVrAEibE.jpg,https://image.tmdb.org/t/p/original/uzIGtyS6bbnJzGsPL93WCF1FWm8.jpg,136,hollywood
41154,Men in Black 3,"Action, Comedy, Science Fiction","Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",6.2,4160,52.035179,2012-05-23,8,They are back... in time.,https://image.tmdb.org/t/p/w500/90DdoEStzeObs96fsYf4GG544iN.jpg,https://image.tmdb.org/t/p/original/5AhpUb8CAP0jZ4Wrn7AsRUYjZxB.jpg,106,hollywood
122917,The Hobbit: The Battle of the Five Armies,"Action, Adventure, Fantasy","Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",7.1,4760,120.965743,2014-12-10,6,Witness the defining chapter of the Middle-Earth saga,https://image.tmdb.org/t/p/w500/xT98tLqatZPQApyRmlPL12LtiWp.jpg,https://image.tmdb.org/t/p/original/3UbaCMmqOd7mca4Y5DOzY2ZVTyX.jpg,144,hollywood
1930,The Amazing Spider-Man,"Action, Adventure, Fantasy","Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",6.5,6586,89.866276,2012-06-27,3,The untold story begins.,https://image.tmdb.org/t/p/w500/jexoNYnPd6vVrmygwF6QZmWPFdu.jpg,https://image.tmdb.org/t/p/original/HVcza6tJtWFrLriuh3Ano4Vt46.jpg,136,hollywood
20662,Robin Hood,"Action, Adventure","When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",6.2,1398,37.668301,2010-05-12,8,"Rise and rise again, until lambs become lions.",https://image.tmdb.org/t/p/w500/9NS5QGOfck24yL3bZqWeW06PgPC.jpg,https://image.tmdb.org/t/p/original/gxJnDz2W566PRdYKCaJrp1FpRRI.jpg,140,hollywood
57158,The Hobbit: The Desolation of Smaug,"Adventure, Fantasy","The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",7.6,4524,94.370564,2013-12-11,3,Beyond darkness... beyond desolation... lies the greatest danger of all.,https://image.tmdb.org/t/p/w500/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg,https://image.tmdb.org/t/p/original/5ZYxL6k4ZHrEmrFvmY4HZVzerxG.jpg,161,hollywood
2268,The Golden Compass,"Adventure, Fantasy","After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",5.8,1303,42.990906,2007-12-04,8,There are worlds beyond our own - the compass will show the way.,https://image.tmdb.org/t/p/w500/6DTH9poR8RAw859L6OuokT7z993.jpg,https://image.tmdb.org/t/p/original/qifYc5jT4CZxmLH9DfOlipioSPp.jpg,113,hollywood
254,King Kong,"Adventure, Drama, Action","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",6.6,2337,61.22601,2005-12-14,8,The eighth wonder of the world.,https://image.tmdb.org/t/p/w500/6a2HY6UmD7XiDD3NokgaBAXEsD2.jpg,https://image.tmdb.org/t/p/original/mRM2NB0i3wv4HqxXvwIjEVi4Qqq.jpg,188,hollywood
597,Titanic,"Drama, Romance, Thriller","84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",7.5,7562,100.025899,1997-11-18,3,Nothing on Earth could come between them.,https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,https://image.tmdb.org/t/p/original/xXCuto8YVp5RFqBJ7yKmVmLOWpF.jpg,194,hollywood
271110,Captain America: Civil War,"Adventure, Action, Science Fiction","Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",7.1,7241,198.372395,2016-04-27,6,Divided We Fall,https://image.tmdb.org/t/p/w500/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,https://image.tmdb.org/t/p/original/7FWlcZq3r6525LWOcvO9kNWurN1.jpg,147,hollywood
44833,Battleship,"Thriller, Action, Adventure, Science Fiction","When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",5.5,2114,64.928382,2012-04-11,8,The Battle for Earth Begins at Sea,https://image.tmdb.org/t/p/w500/9b0Im7SfedHiajTwzSL9zGyBI7M.jpg,https://image.tmdb.org/t/p/original/85PMh0cKywekAJYDnRXfezYAmEc.jpg,131,hollywood
135397,Jurassic World,"Action, Adventure, Science Fiction, Thriller","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",6.5,8662,418.708552,2015-06-09,11,The park is open.,https://image.tmdb.org/t/p/w500/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,https://image.tmdb.org/t/p/original/dF6FjTZzRTENfB4R17HDN20jLT2.jpg,124,hollywood
37724,Skyfall,"Action, Adventure, Thriller","When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",6.9,7604,93.004993,2012-10-25,3,Think on your sins.,https://image.tmdb.org/t/p/w500/d0IVecFQvsGdSbnMAHqiYsNYaJT.jpg,https://image.tmdb.org/t/p/original/wkA622CCN2X0uwpgqYEOnUYEDf5.jpg,143,hollywood
558,Spider-Man 2,"Action, Adventure, Fantasy","Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",6.7,4321,35.149586,2004-06-25,12,There's a hero in all of us.,https://image.tmdb.org/t/p/w500/aGuvNAaaZuWXYQQ6N2v7DeuP6mB.jpg,https://image.tmdb.org/t/p/original/6al048Lat3eLVQOuKtc9h6Tu94d.jpg,127,hollywood
68721,Iron Man 3,"Action, Adventure, Science Fiction","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",6.8,8806,77.68208,2013-04-18,3,Unleash the power behind the armor.,https://image.tmdb.org/t/p/w500/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg,https://image.tmdb.org/t/p/original/iVped1djsF0tvGkvnHbzsE3ZPTF.jpg,130,hollywood
12155,Alice in Wonderland,"Family, Fantasy, Adventure","Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",6.4,4645,78.530105,2010-03-03,3,You're invited to a very important date.,https://image.tmdb.org/t/p/w500/o0kre9wRCZz3jjSjaru7QU0UtFz.jpg,https://image.tmdb.org/t/p/original/ocOWbTzHcJVTw9Tz173KPeskDOP.jpg,108,hollywood
36668,X-Men: The Last Stand,"Adventure, Action, Science Fiction, Thriller","When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",6.3,3525,3.857526,2006-05-24,10,Take a Stand,https://image.tmdb.org/t/p/w500/a2xicU8DpKtRizOHjQLC1JyCSRS.jpg,https://image.tmdb.org/t/p/original/nLMXULCGLnzRxz11txPzPqbOHSz.jpg,104,hollywood
62211,Monsters University,"Animation, Family",A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,7.0,3528,89.186492,2013-06-20,3,School never looked this scary.,https://image.tmdb.org/t/p/w500/y7thwJ7z5Bplv6vwl6RI0yteaDD.jpg,https://image.tmdb.org/t/p/original/mIpCxBWNz6SHCQBe2K2PFr5MB7f.jpg,104,hollywood
8373,Transformers: Revenge of the Fallen,"Science Fiction, Action, Adventure","Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",6.0,3138,21.939663,2009-06-19,4,Revenge is coming.,https://image.tmdb.org/t/p/w500/pLBb0whOzVDtJvyD4DPeQyQNOqp.jpg,https://image.tmdb.org/t/p/original/bH1bhjn37uA1zOPvyHbzJSvza7v.jpg,150,hollywood
91314,Transformers: Age of Extinction,"Science Fiction, Action, Adventure","As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",5.8,3095,116.840296,2014-06-25,3,This is not war. It's extinction.,https://image.tmdb.org/t/p/w500/jyzrfx2WaeY60kYZpPYepSjGz4S.jpg,https://image.tmdb.org/t/p/original/wxr4Z6E83h14CogsZOzDm1vuDX3.jpg,165,hollywood
68728,Oz: The Great and Powerful,"Fantasy, Adventure, Family","Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",5.7,3530,46.985445,2013-03-07,8,"In Oz, nothing is what it seems",https://image.tmdb.org/t/p/w500/tkzfAUEKoUp4YFNbZV9hfpZOz0z.jpg,https://image.tmdb.org/t/p/original/o6TYNmB1CT85j7lmyvSedoybyc9.jpg,130,hollywood
102382,The Amazing Spider-Man 2,"Action, Adventure, Fantasy","For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",6.5,4179,89.270217,2014-04-16,3,No more secrets.,https://image.tmdb.org/t/p/w500/bU7nTmvmy0h3VUP01v1T2imgH6N.jpg,https://image.tmdb.org/t/p/original/k0hlAzTryCYX1O1LyC6P8tAa8s0.jpg,141,hollywood
20526,TRON: Legacy,"Adventure, Action, Science Fiction","Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",6.3,2841,73.79505,2010-12-10,8,The Game Has Changed.,https://image.tmdb.org/t/p/w500/xcO8Uun0mfmE3N9CaiCy0tvjpiu.jpg,https://image.tmdb.org/t/p/original/uUa6jgSr5BQpcBhhaz1PV1JhSa4.jpg,126,hollywood
49013,Cars 2,"Animation, Family, Adventure, Comedy",Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,5.8,2033,49.98659,2011-06-11,8,Ka-ciao!,https://image.tmdb.org/t/p/w500/okIz1HyxeVOMzYwwHUjH2pHi74I.jpg,https://image.tmdb.org/t/p/original/robYRZk9LxJTwD7GlZCginji5k.jpg,106,hollywood
44912,Green Lantern,"Adventure, Action, Thriller, Science Fiction","For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",5.1,2487,51.872839,2011-06-16,8,"In our darkest hour, there will be light.",https://image.tmdb.org/t/p/w500/fj21HwUprqjjwTdkKC1XZurRSpV.jpg,https://image.tmdb.org/t/p/original/tS3ByIQR6V61DaWhEIFbLSuLK5Q.jpg,114,hollywood
10193,Toy Story 3,"Animation, Family, Comedy","Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",7.6,4597,59.995418,2010-06-16,9,No toy gets left behind.,https://image.tmdb.org/t/p/w500/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg,https://image.tmdb.org/t/p/original/uAfhsySkr1UzQg1zdg3dZQRz9Fd.jpg,103,hollywood
534,Terminator Salvation,"Action, Science Fiction, Thriller","All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",5.9,2463,71.862892,2009-05-20,8,The End Begins.,https://image.tmdb.org/t/p/w500/gw6JhlekZgtKUFlDTezq3j5JEPK.jpg,https://image.tmdb.org/t/p/original/uifaXfJxjTMeNttw5u04nHx1G5w.jpg,115,hollywood
168259,Furious 7,Action,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,7.3,4176,102.322217,2015-04-01,3,Vengeance Hits Home,https://image.tmdb.org/t/p/w500/ktofZ9Htrjiy0P6LEowsDaxd3Ri.jpg,https://image.tmdb.org/t/p/original/ehzI1mVcnHqB58NqPyQwpMqcVoz.jpg,138,hollywood
72190,World War Z,"Action, Drama, Horror, Science Fiction, Thriller","Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",6.7,5560,81.834855,2013-06-20,3,Remember Philly!,https://image.tmdb.org/t/p/w500/aCnVdvExw6UWSeQfr0tUH3jr4qG.jpg,https://image.tmdb.org/t/p/original/kg2FOT2Oe5PSCgs3L4vLel6B7ck.jpg,116,hollywood
127585,X-Men: Days of Future Past,"Action, Adventure, Fantasy, Science Fiction",The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,7.5,6032,118.078691,2014-05-15,3,"To save the future, they must alter the past",https://image.tmdb.org/t/p/w500/tYfijzolzgoMOtegh1Y7j2Enorg.jpg,https://image.tmdb.org/t/p/original/3czpqXzFy5UcNuD1AubecRLWkwD.jpg,132,hollywood
54138,Star Trek Into Darkness,"Action, Adventure, Science Fiction","When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",7.4,4418,78.291018,2013-05-05,3,Earth Will Fall,https://image.tmdb.org/t/p/w500/Aim3kVNh1MPIxPEFeJrl9e9Uf1a.jpg,https://image.tmdb.org/t/p/original/npDrIM6ZbuD7nUxI7ZzNBxs4IRF.jpg,132,hollywood
81005,Jack the Giant Slayer,"Action, Family, Fantasy","The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",5.5,2598,43.349855,2013-02-27,4,Prepare for a giant adventure,https://image.tmdb.org/t/p/w500/9jSI7saUX9Qz0JLh19jX2ulEwL7.jpg,https://image.tmdb.org/t/p/original/djSAd6HUm66eVNC3PiZbYwOpD5A.jpg,114,hollywood
